PMID,Journal,Year,Animal,Disease,Type,Acupoints,Mechanism,Site
27664285,Acupunct Med,2016,rat,Anaesthetic cardiotoxicity,"EA,MA","PC6,ST36,ST40",Unknown,PC6
27738449,Evid Based Complement Alternat Med,2016,rat,Type-2 diabetes mellitus,EA,"PC6,ST36,SP6,BL23","Modulation of insulin signaling related molecules (IRS1, IRS2, Akt2, aPKC)",PC6
28197190,Neural Regen Res,2016,rat,Stroke,EA,"GV26,PC6",Alters cerebral cortical miRNA profile and improves cerebral blood flow,PC6
25788938,Neural Regen Res,2015,rat,Stroke,MA,PC6,Unknown,PC6
25861363,Evid Based Complement Alternat Med,2015,rat,Stroke,MA,PC6,Tph1 and Olr883 gene expression regulation,PC6
25913051,Neuromodulation,2015,rat,Chemotherapy-Induced Delayed Emesis,EA,"PC6,ST36",Unknown,PC6
25936591,Neurosci Lett,2015,rat,Addiction,MA,"HT7,PC6","VTA-Nacc DAergic function improvement, BDNF inhibition",PC6
25975057,J Tradit Chin Med,2015,rat,Myocardial ischemia,EA,"PC6,LU7",ASIC2/ASIC3 modulation and inhibition,PC6
26037401,Life Sci,2015,rat,Stroke,EA,"PC6,LI11",Up-regulation of astrocytic MCT1 expression to improve lactate metabolism,PC6
26499847,Sci Rep,2015,mouse,Myocardial ischemia,EA,PC6,Vagal nerve modulation of HMGB1 release via α7nAchR signaling,PC6
26524181,PLoS One,2015,rabbit,Acute kidney injury,EA,"ST36,PC6",Induction of HO-1 through the PI3K/Akt/Nrf2 pathways,PC6
26591689,J Tradit Chin Med,2015,rat,Myocardial ischemia,EA,"PC6,LU7",Modulation of KATP channels and protein kinases gene expression,PC6
26742310,J Tradit Chin Med,2015,rat,Myocardial ischemia,MA,PC6,Unknown,PC6
26881000,Evid Based Complement Alternat Med,2015,rat,Myocardial ischemia,EA,"PC5,PC6,ST36,ST37,BL14,BL15",Increased HSP20 and HSP27 expression,PC6
26934796,Acupunct Electrother Res,2015,rat,Myocardial ischemia,EA,PC6,Upregulation of Kir2.1 and Kir2.2 gene and protein expression,PC6
24883066,Evid Based Complement Alternat Med,2014,mouse,Myocardial ischemia,EA,PC6,"ERK1/2-Egr-1 signaling pathway inhibition, proinflammatory cytokine reduction",PC6
24585780,Am J Physiol Heart Circ Physiol,2014,rat,Chronic heart failure,EA,"PC5,PC6",Sympathetic nerve activity inhibition,PC6
24674772,Neurosci Lett,2014,rat,Addiction,MA,"HT7,PC6",Amygdaloid NPY and CREB phosphorylation modulation,PC6
24722278,PLoS One,2014,rat,Myocardial ischemia,EA,PC6,"VEGF expression upregulation via H3K9 acetylation, angiogenesis promotion",PC6
24778705,Evid Based Complement Alternat Med,2014,,Inflammation,MA,"ST40,PC6","IL-17 expression reduction, inflammation reduction",PC6
25204607,Auton Neurosci,2014,rat,Visceral pain,EA,"ST36,PC6",NTS neuron modulation through polysynaptic cross-talk,PC6
24995035,Evid Based Complement Alternat Med,2014,mouse,colitis,EA,"PC3,PC6","Inflammatory and immunity pathway modulation (IL-1β, NF-κB downregulation)",PC6
25371698,Evid Based Complement Alternat Med,2014,rat,QT interval prolongation,EA,PC6,Connexin43 mRNA and protein upregulation,PC6
25618976,J Tradit Chin Med,2014,rat,Myocardial ischemia,EA,PC6,Voltage-gated Na+ currents inhibition via Na(v) inactivation restoration,PC6
25693308,Acupunct Electrother Res,2014,rat,Myocardial ischemia,EA,"PC6,LU7",Cardiac transient outward K+ current (Ito) channel gene and protein expression increase,PC6
23785073,Am J Physiol Regul Integr Comp Physiol,2013,rat,hypertension,EA,"PC5, PC6",Antagonism of CCK-8 on opioid mechanism in rVLM,PC6
22903442,Chin J Integr Med,2013,rat,Ischemic heart disease,EA,PC6,Enhanced MSC survival and increased capillary density,PC6
23737846,Evid Based Complement Alternat Med,2013,rat,Stroke,EA,"GV26, GV20, LI11, PC6",Increased cerebral blood flow,PC6
23843874,Evid Based Complement Alternat Med,2013,rat,Depression,MA,"GV20, PC6",Activating the ERK-CREB pathway in the hippocampus and prefrontal cortex,PC6
24078821,Evid Based Complement Alternat Med,2013,rat,Postoperative pain,EA,"LI18, LI4, PC6","Downregulation of SP, CGRP, NK-1R, COX-1, and PGE2 levels",PC6
24170631,Chin J Integr Med,2013,rat,Cerebral infarction,MA,"PC6, BL40, LU5, SP6, GV26",Unknown,PC6
23864885,Evid Based Complement Alternat Med,2013,rat,Myocardial ischemia,EA,PC6,Regulation of CFTR and CLC-2 Cl- channels and reduction of oxidative stress,PC6
21876715,Evid Based Complement Alternat Med,2012,rat,Cardiac hypertrophy,EA,"PC6, LI4","Modulation of upstream neuroendocrine cytokines (Ang II, ET) that regulate ERK signaling pathways",PC6
22750250,Brain Res Bull,2012,rat,Cardiovascular disease,EA,PC6,"Modulation of neurons in the paraventricular nucleus (PVN) and rostral ventrolateral medulla (RVLM) (c-Fos expression, electrophysiological properties)",PC6
22613131,Neurochem Int,2012,mouse,Drug addiction,EA,"ST36, PC6, GV14, GV20",Inhibition of CB1 receptor upregulation,PC6
22594112,J Tradit Chin Med,2012,rat,Stroke,MA,"PC6, BL40, LU5, SP6, GV26",Gradual recovery of movement function via multiple acupuncture sessions,PC6
21859515,Int J Neuropsychopharmacol,2012,mouse,Drug addiction,EA,"ST36, PC6, GV14, GV20","Reversal of ethanol-induced pERK expression in specific brain regions (infralimbic cortex, dorsomedial striatum)",PC6
22462246,J Tradit Chin Med,2011,rat,Irritable bowel syndrome,EA,"ST36, PC6, LR3","Counteracting CRD-induced changes in blood pressure, GBF, EGG, and GT, with specificity for Zusanli (ST36)",PC6
22117979,J Int Med Res,2011,rat,Kidney injury,EA,"ST36, PC6","Decreased LPS-induced plasma TNF-α and IL-1β, increased plasma IL-10, decreased plasma nitrite, renal iNOS and NF-κB activity",PC6
21828070,Acupunct Med,2011,rat,Liver injury,EA,PC6,"Attenuation of liver injury and dysfunction, reduction of neutrophil infiltration",PC6
20946936,Neurosci Lett,2011,rat,Stress-related pathological disorders,MA,PC6,Increased acetylcholinesterase (AchE) activity in hippocampus,PC6
20483028,Neurol Res,2010,rat,Stroke,EA,"PC6, TE5, SP6, ST36",Regulation of Nav1.1 and Nav1.6 expression,PC6
19703358,Neurol Res,2010,rat,Stroke,EA,"PC6, TE5, SP6, ST36",Regulation of Nav1.1 expression,PC6
19427367,Neurosci Lett,2009,rat,Depression,MA,PC6,Attenuation of c-fos expression in PVN and restoration of stress-induced behavioral changes,PC6
19426165,Alcohol Clin Exp Res,2009,mouse,Ethanol addiction,EA,"ST36, PC6",Modulation of homer1A expression and glutamatergic plasticity,PC6
19325030,J Appl Physiol (1985),2009,rat,CVD,EA,"PC5, PC6",Endocannabinoid CB1 receptor activation inhibiting GABA release in vlPAG,PC6
19429024,Neurosci Lett,2009,rat,Depression,MA,PC6,Increased neuropeptide Y (NPY) expression and HPA axis modulation,PC6
18845056,J Physiol Sci,2008,rat,cerebral ischemia,EA,PC6,"Attenuation of AC, PKA, and L-type Ca2+ channel activity",PC6
18671899,Neurol Res,2008,rat,Acute cerebral infarction,EA,"PC6, TE5, SP6, ST36","Regulation of ephrin-A5 expression and dendritic spine density, neural plasticity",PC6
19030201,World J Gastroenterol,2008,rat,Coronary heart disease,EA,"PC6, SP4","Up-regulation of NOS expression in myocardium, gastric antrum, duodenum",PC6
18690386,Sheng Li Xue Bao,2008,rat,Myocardial ischemia,EA,PC6,Differential regulation of nNOS and iNOS in RVLM,PC6
17303176,Life Sci,2007,rat,Myocardial ischemia,EA,PC6,Inhibition of beta(1)-adrenoceptor-Gs-protein-cAMP pathway,PC6
17209007,Am J Physiol Heart Circ Physiol,2007,rat,Ventricular tachyarrhythmias,EA,"PC5, PC6",Reduction of cardiac metabolic demand,PC6
41197910,Behav Brain Res,2026,Rat,Traumatic brain injury (TBI),EA,"LI11, LI4, GV20, CV4, ST36, KI1",PANX1/ATP/Ca2+ signaling modulation,LI4
41362754,Int J Gen Med,2025,Rat,Cerebral infarction,MA,"LI4, LR3, ST36, ST40",Gut SCFA/IL-17 axis regulation,LI4
41255782,Front Neurol,2025,Rat,Depression-like behaviors (induced by early chronic sleep deprivation),"MA, EA","GV20, GV29, LI4, LR3",Circadian autophagy and ferroptosis inhibition,LI4
41069927,J Diabetes Res,2025,Rat,Diabetic Kidney Disease (DKD),MA,"CV12, LR3, SP9, SP10, SP8, SP6, SP40, LI11, LI4, ST36",Suppression of EMT via DPP4/SDF-1 axis,LI4
40990232,Folia Histochem Cytobiol,2025,Rat,Depression,EA,"LI4, LR3",SIRT1 activation,LI4
40943453,Int J Mol Sci,2025,Mouse,Inflammatory pain,MA,"ST36, PC6, LI4",TRPV1 signaling inhibition,LI4
40535642,Am J Transl Res,2025,Mouse,Parkinson's disease (PD),EA,"GV20, LI4, LR3",NLRP3 inflammasome pathway inhibition,LI4
40420206,Chin Med,2025,Mouse,Atopic dermatitis (AD),EA,"LI11, LI4",CB2 receptor activation,LI4
40065910,J Inflamm Res,2025,Mouse,Chronic Inflammatory Pain with Depression (CIPD),MA,"ST36, SP6, LI4, LR3",Improvement of neural coding in the central amygdala (CeA),LI4
39802514,J Inflamm Res,2025,Rabbit,Knee osteoarthritis (KOA),MA,"EX-LE4, ST35, SP10, ST36, LI4, GB34",Activation of the MLT/cAMP/PKA/CREB signaling pathway,LI4
38971546,Exp Gerontol,2024,Mouse,Perioperative neurocognitive disorder (PND),EA,"GV20, PC6, LI4",Modulation of gut microbiota and metabolites,LI4
37783259,Brain Res,2024,Mouse,Depression,MA,"GV20, GV29, LI4, LR3",Inhibition of M1-Ach receptors and activation of mTORC1,LI4
38212498,Chin J Integr Med,2024,Rat,Facial Nerve Injury (FNI),"EA,MA","ST4, ST6/TE17, LI4",GDNF/PI3K/mTOR signaling activation,LI4
38266778,Behav Brain Res,2024,Rat,Parkinson's disease (PD),MA,"LR3, LI4, GV20, GB20, GV16, ST36",IRE1/XBP1 ER stress pathway activation,LI4
39071725,Heliyon,2024,Rat,Diabetic Kidney Disease (DKD),MA,"LI1, LI4, SP10, ST36, ST40, SP9, SP8, SP6, LR3, CV12",Inhibition of ferroptosis and epithelial-mesenchymal transition,LI4
39054547,Diabetol Metab Syndr,2024,Mouse,Glycolipid metabolism disorders in NAFLD/Type 2 diabetes mellitus (T2DM),EA,"BL13, BL20, BL23, ST36, SP6, LI4, LR3",Mediation of AMPK/ACC signaling pathway,LI4
39420985,Front Neurosci,2024,Rat,Post-stroke depression (PSD) induced by middle cerebral artery occlusion (MCAO) and chronic unpredictable mild stress (CUMS),EA,"GV20, GV29, LI4, LR3",Inhibition of prefrontal cortex ferroptosis,LI4
37152933,Front Endocrinol (Lausanne),2023,Mouse,Diabetic cognitive impairment (DCI),EA,"GV20, GV24, BL13, BL20, BL23, LI4, ST36, SP6, LR3","Reducing endoplasmic reticulum stress, inhibiting JNK, and restoring insulin signaling",LI4
36046956,Acupunct Med,2023,rat,neuroinflammation,MA,"GV20, GV25, GV16, GV15, LI4",Microglial M1/M2 polarization modulation via TLR4/TRIF/MyD88 pathway,LI4
36422883,CNS Neurosci Ther,2023,rat,brain injury,MA,"GV20, GV26, GV16, GV15, LI4",mTOR/ULK1 pathway mediated neuronal autophagy regulation,LI4
36517637,Metab Brain Dis,2023,rat,brain injury,EA,"LI 11, LI4, GV20, CV4, ST36, KI1",Inhibiting excessive autophagy via IL-10 production and blocking AMPK/mTOR signaling,LI4
36647427,Oxid Med Cell Longev,2023,Mouse,intestinal disease,EA,"ST36, LI4",HO-1/PINK1 pathway-mediated mitochondrial dynamics regulation,LI4
36686575,Front Neuroanat,2023,rat,Retinal ischemia-reperfusion injury (RIRI),EA,"BL1, GV26, BL1, LI4","Electroacupuncture activates the delta-opioid receptor (DOR)-BDNF/TrkB signaling pathway, suppressing pro-inflammatory cytokines (IL-1β, TNF-α) while upregulating anti-inflammatory factors (IL-4, IL-10) to reduce retinal cell apoptosis",LI4
36914042,Brain Res,2023,Rat,Depression in Parkinson's disease (DPD),MA,"GV20, GV29, LI4, LR3, GV4","Activating mTOR pathway, inhibiting autophagy, and repairing synapses",LI4
36994521,J Tradit Chin Med,2023,Rat,Traumatic brain injury (TBI),MA,"GV20, GV26, GV16, GV15, LI4",Bidirectional regulation of glial scar repair and glial cell proliferation,LI4
36703718,Front Behav Neurosci,2023,mouse,Depression,EA,"LI4, LR3",Kynurenine pathway regulation,LI4
37483411,J Pain Res,2023,Rat,Cervical spondylotic radiculopathy (CSR),EA,"LI4, LR3",Modulation of spinal cord synaptic plasticity,LI4
37516346,Neurosci Lett,2023,Rat,Chronic inflammatory pain and depression comorbidity,EA,"LI4, LR3",Activation of the PI3K/Akt signaling pathway,LI4
37548586,Brain Behav,2023,Rat,Cervical spondylotic radiculopathy (CSR),EA,"LI4, LR3",Inhibition of the CaMKII/CREB/BDNF signaling pathway,LI4
37857016,Aging (Albany NY),2023,Rat,"Anesthesia/surgery-induced cognitive decline, postoperative cognitive dysfunction (POCD)",EA,"PC6, LI4, ST36, GV20, GV14",Activation of CREB via the ERK/MAPK pathway,LI4
37954604,Front Immunol,2023,Mouse,Persistent dental pain induced by multiple dental pulp injuries,EA,"LI4, LI11",Modulation of GABAergic interneurons-astrocytes interaction,LI4
37511411,Int J Mol Sci,2023,Mouse,Chemotherapy-Induced Salivary Gland Hypofunction (Xerostomia),EA,"LI4, LI11",Unknown,LI4
38089431,Diabetes Metab Syndr Obes,2023,Mouse,Type 2 Diabetes Mellitus (db/db mice model),EA,"BL13, BL20, BL23, LI4, ST36, SP6, LR3",Gut microbiota and bile acid metabolism regulation,LI4
36016833,Front Cell Neurosci,2022,mouse,Traumatic brain injury,EA,"LI4, LI11",HDAC overexpression and BDNF-associated Akt/GSK-3β signaling targeting,LI4
34981123,Biosci Rep,2022,mouse,type 2 diabetes mellitus,EA,"BL13, BL20, BL23, LI4, ST36, SL6, LR3","Regulation of PPAR signaling pathway, fatty acid biosynthesis/metabolism, fat digestion/absorption",LI4
35600074,Front Mol Neurosci,2022,mouse,cerebral ischemia,EA,"LU5, LI4, ST36, SP6",Inhibition of NLRP3/caspase-1 pathway to reduce cell pyroptosis and inflammatory response,LI4
35970043,Biochem Biophys Res Commun,2022,mouse,Depression,EA,"LR3, GV20, GV29, LI4",Extracellular matrix remodeling and synaptic plasticity promotion,LI4
35258777,Neurochem Res,2022,rat,Postoperative cognitive dysfunction (POCD),EA,"LI4, PC6, ST36",Inhibition of mitochondrial injury and neuroapoptosis,LI4
36051408,Med Acupunct,2022,rat,burn,MA,"ST36, LI4",Anti-inflammatory effect and angiogenesis promotion,LI4
36133809,Front Pharmacol,2022,mouse,itch,EA,"LI4, LI11, SP10, ST36","CB1 receptor activation on glutamatergic neurons and inhibition on GABAergic neurons in vlPAG, inhibiting 5-HT release",LI4
36389227,Front Neurosci,2022,rat,incisional pain,EA,"LI18, LI4, PC6, ST36, GB34",Suppressing neuronal-glial interaction and upregulating glutamate transporters,LI4
35770559,J Acupunct Meridian Stud,2021,rat,analgesia,EA,LI4,Opioid and non-opioid system modulation,LI4
32789781,Inflammation,2021,rat,Periodontitis,EA,"LI4, LI11, ST36, ST44","Reduction of IL-6, IL-17, and NF-κB",LI4
33836646,Mol Med,2021,rat,ischemic stroke,EA,"GV20, LI4, LR3",OTULIN upregulation and NF-κB pathway suppression,LI4
34041688,J Mol Neurosci,2021,rat,Depression,EA,"LI4, LR3",Activation of BDNF and TrkB expression,LI4
34045881,J Inflamm Res,2021,rat,ischemic stroke,EA,"GV20, LI4, LR3","Upregulation of neuronal Cylindromatosis (CYLD) expression, regulation of microglial polarization (inhibiting M1, promoting M2), modulation of CX3CL1/CX3CR1 axis and NLRP3 inflammasome",LI4
34135611,Diabetes Metab Syndr Obes,2021,mouse,type 2 diabetes mellitus,EA,"BL13, BL20, BL23, LI4, LR3, ST36, SP6","Regulating intestinal flora, increasing SCFAs, affecting LPS levels, and reducing inflammatory response",LI4
34211013,Sci Rep,2021,mouse,cocaine reinstatement,"EA, MA","LI4, LI11","Modulation of ΔFosB and GluR2 expression, and dendritic spine density",LI4
34413646,Neuropsychiatr Dis Treat,2021,rat,cognitive dysfunction,EA,"LI4, PC6, ST36","Activation of α7-nAChR signal, inhibiting HMGB1-NF-κB in microglia",LI4
34804187,Evid Based Complement Alternat Med,2021,rat,Depression,EA,"LI4, LR3",Downregulation of NR2B and CaMK II expression to restore LTP,LI4
34924558,Med Sci Monit,2021,rat,Depression,EA,"GV20, GV29, LI4, LR3",Modulation of hyper-cholinergic tone,LI4
34961820,Evid Based Complement Alternat Med,2021,rat,Postoperative pain,EA,"LI18, LI4, PC6, ST36, GB34",Regulation of CB1 receptor of spinal cord,LI4
33110436,Evid Based Complement Alternat Med,2020,rat,cerebral ischemia/reperfusion (I/R) injury,EA,"GV20, LI4, LR3",A20-binding inhibitor of NF-κB modulation,LI4
32310010,Acupunct Med,2020,rat,Traumatic brain injury,MA,"GV15, GV16, GV20, GV26, LI4",Microglial M1 polarization inhibition via RhoA/ROCK2 signaling pathway regulation,LI4
32774418,Evid Based Complement Alternat Med,2020,rat,respiratory distress,EA,LI4,Regulation of PPAR Gamma/NF-Kappa B signaling pathway,LI4
32498533,Ann Palliat Med,2020,rat,labor pain,EA,"LI4, SP6",Inhibition of spinal microglia activation,LI4
32311563,World Neurosurg,2020,rat,Depression,EA,"LI4, LR3",AMPAR expression upregulation and neural plasticity protection,LI4
32283868,Int J Mol Sci,2020,mouse,pulpitis,EA,"ST5, ST6, LI4, LI11",Microglial and astrocyte activation modulation and pro-inflammatory cytokine reduction,LI4
32242393,J Tradit Chin Med,2020,rat,fractures,EA,"ST36, LI3, LI4",Reduction of oxidative stress and regulation of antioxidant enzyme activity,LI4
32242392,J Tradit Chin Med,2020,rat,Traumatic brain injury,MA,"GV15, GV16, GV20, GV26, LI4",LPA-LPAR pathway inhibition and microglial activation reduction,LI4
31870773,Life Sci,2020,rat,myocardial injury,EA,"PC6, LI4",Apelin/APJ signaling pathway restoration,LI4
31847241,Int J Mol Sci,2019,rat,premature ovarian failure,MA,"GV20,CV4, EX-CA1, LI4, LR3, SP6","PI3K/Akt signaling pathway restoration, reduction of granulosa cell apoptosis",LI4
31510092,Int J Mol Sci,2019,mouse,Inflammatory pain,EA,LI4,Brain TRPV1 signaling pathway modulation,LI4
31311378,J Int Med Res,2019,rat,cognitive dysfunction,EA,"GV20, PC6, LI4",Astrocyte number reduction and oxidative stress suppression,LI4
31121356,Bone,2019,rat,bone loss,EA,"LI4, LI11, ST36, ST44",Cannabinoid CB1/CB2 receptor immunoexpression increase,LI4
30977668,Acupunct Med,2019,rat,labour pain,EA,"EX-B2, SP6,LI4",Spinal p38 MAPK inhibition and PGE2/PGER2 modulation,LI4
30884162,J Diabetes,2019,rat,Diabetes,EA,"BL13, BL20, BL23, LI4,LR3, ST36, SP6",GRP78 and caspase-12 downregulation; ER stress inhibition,LI4
30870587,Hippocampus,2019,rat,Diabetes,EA,"ST36, LI4",Acetylcholine biosynthesis and NGF metabolism normalization,LI4
30127120,Neural Regen Res,2018,mouse,cerebral ischemia/reperfusion injury,EA,"LU5, LI4, SP6, ST36",ERK pathway upregulation and p38 pathway inhibition,LI4
30008609,Int J Med Sci,2018,rat,itch,"MA, EA","LI4,LI11",Spinal microglial activation alleviation and TNF-α reduction,LI4
30116387,Exp Ther Med,2018,rat,Inflammation,EA,LI4,Inflammatory response inhibition via vagus nerve,LI4
30149915,Biochem Biophys Res Commun,2018,rat,neuroinflammation,EA,"LI4, LR3, GV20","Microglial TREM2 modulation, PI3K/Akt and NF-κB signaling pathway regulation (attenuating neuroinflammation)",LI4
32188194,J Tradit Chin Med,2017,rat,Myocardial apotopsis,EA,"PC6,LI4",PI3K/Akt signaling pathway activation and Akt phosphorylation,LI4
29163038,Front Mol Neurosci,2017,rat,Ischemia,EA,"GV20, LI4, LR3",NF-κB signaling pathway suppression via CYLD upregulation,LI4
28842280,Neurosci Lett,2017,rat,Postoperative cognitive dysfunction,EA,"GV20, PC6, LI4",α7-nAChR upregulation and inflammatory pathway inhibition,LI4
28831054,Sci Rep,2017,rat,Neurodegenerative diseases,EA,"ST36,LI4",M1- and M2-muscarinic receptor modulation,LI4
28644824,Med Sci Monit,2017,rat,Major depressive disorder,EA,"LI4,LR3",Enhancing glial glutamate transporter EAAT2 expression,LI4
28624772,Acupunct Med,2017,rat,Stroke,EA,"LU5,LI4,ST36,SP6",Upregulation of p-ERK (ERK pathway),LI4
28493083,Inflammation,2017,rat,Lung injury,EA,"PC6,LI4",Decreased phosphorylation of p38 along with caspase-3 activity and activation; reversal of oxidative damage,LI4
28469655,Neural Regen Res,2017,rat,neuronal apoptosis,EA,"LU5, LI4, ST36, SP6",Inhibits p38 mitogen-activated protein kinase signaling pathway,LI4
26732307,Acupunct Med,2016,rat,labour pain,EA,"SP6,LI4,SP10",Regulation of the spinal dynorphin/κ-opioid receptor system,LI4
26780954,Mol Med Rep,2016,rat,Stroke,EA,"LI4,TE5,GB34,ST36",Activation of the GABAB/cAMP/PKA/CREB signal transduction pathway,LI4
27396909,Brain Res,2016,mouse,Itching,EA,"LI4,LI11",Reduced microglial activation (Iba1 and phospho-p38),LI4
26296359,Acupunct Med,2016,rat,brain injury,MA,"LI4,GV20,GV26,GV16",Wnt/β-catenin signaling pathway regulation and neural stem cell modulation,LI4
27313641,Evid Based Complement Alternat Med,2016,rat,brain injury,MA,"GV20,GV26, GV16,GV15, LI4",Proliferation and differentiation of endogenous neural stem cells,LI4
27664868,Neurosci Lett,2016,rat,Stroke,EA,"GV20, LI4, LR3","Inhibition of apoptosis, altered MMP-9/TIMP-1 expression balance",LI4
27453543,Brain Res,2016,rat,Stroke,EA,"GV20,LI4,LR3","Accelerated SDF-1α concentration gradient formation, mobilization of EPCs, angiogenesis",LI4
27716383,J Neuroinflammation,2016,rat,Stroke,EA,"GV20,LI4,LR3","Upregulated neuronal A20 expression, suppressed neuronal NF-kB signaling pathway",LI4
27776762,J Acupunct Meridian Stud,2016,rat,Depression,MA,"LI4,LR3","SNARE protein involvement (VGLUT2, SNAP25, VAMP1, VAMP2, VAMP7, syntaxin1)",LI4
27852302,BMC Complement Altern Med,2016,rat,Traumatic brain injury,EA,"GV20,GV26,LI4,KI1","Anti-neuroinflammatory effects (microglia/astrocyte activation, TNF-α expression attenuation)",LI4
26633985,Evid Based Complement Alternat Med,2015,rat,Stroke,EA,"LU5,LI4,ST36,SP6",ERK signaling pathway upregulation and reduced apoptosis,LI4
25908217,Chin J Integr Med,2015,rat,brain injury,MA,"GV20,GV26,GV16,GV15,LI4","Notch signaling pathway promotion, endogenous stem cell proliferation induction",LI4
25741581,J Periodontol,2015,rat,Periodontitis,EA,"LI4,LI11,ST36,ST44","Immuno-inflammatory response modulation (RANKL, TRAP, IL-1β, MMP-8, IL-6)",LI4
25221593,Neural Regen Res,2014,rat,Brachial plexus injury,EA,"LI11,LI4,ST36,GB34",β-endorphin expression upregulation,LI4
24991226,Evid Based Complement Alternat Med,2014,mouse,Facial nerve palsy(FNP),EA,"ST6,LI4",Unknown,LI4
23878596,Evid Based Complement Alternat Med,2013,mouse,Pruritus,EA,"LI4, LI11",Involvement of peripheral µ opioid system and decreased c-Fos expression,LI4
22526758,Neurol Sci,2013,rat,Stroke,EA,LI4,"Upregulation of SCF, c-kit, and MMP-9 expression",LI4
23371461,Chin J Integr Med,2013,rat,Traumatic brain injury,MA,"GV20, GV26, GV16, LI4",Promoting proliferation and differentiation of neural stem cells,LI4
23970940,Evid Based Complement Alternat Med,2013,rat,Inflammatory injury,EA,"GV20, LI4, LR3","Regulation of NF-κB signaling pathway (interfering with NF-κB nuclear translocation, suppressing NF-κB activity)",LI4
24055977,Acupunct Med,2013,rat,Stroke,EA,"GV20, GV26, LI4, KI1","Increased cerebral blood flow, reduction of TGIF expression and neuronal apoptosis",LI4
24078821,Evid Based Complement Alternat Med,2013,rat,Postoperative pain,EA,"LI18, LI4, PC6","Downregulation of SP, CGRP, NK-1R, COX-1, and PGE2 levels",LI4
23181276,Can J Physiol Pharmacol,2012,rat,Arthritis,EA,"LI4, LI11, ST36, ST44",Activation of CB1 and CB2 cannabinoid receptors,LI4
22693534,Evid Based Complement Alternat Med,2012,rat,Depression,EA,"LI4, LR3",Modulation of the Adenylyl cyclase (AC)-cyclic adenosine monophosphate (cAMP)-cAMP-dependent protein kinase A (PKA) cascade,LI4
22457140,Chin J Integr Med,2012,rat,Chronic visceral hypersensitivity,EA,"ST36, LI4",Regulation of NPY in thalamus and SS in colonic tissue/blood,LI4
22443108,Can J Physiol Pharmacol,2012,rat,Arthritis,EA,"LI4, LI11, ST36, ST44","Inhibition of inflammatory parameters: neutrophil migration, vascular permeability, TNF-α, COX-2, and iNOS expression",LI4
22222470,Anesthesiology,2012,rat,sepsis,EA,LI4,"Activation of efferent neural circuits of the autonomic nervous system (e.g., cholinergic antiinflammatory pathway) through muscarinic receptors",LI4
21876715,Evid Based Complement Alternat Med,2012,rat,Cardiac hypertrophy,EA,"PC6, LI4","Modulation of upstream neuroendocrine cytokines (Ang II, ET) that regulate ERK signaling pathways",LI4
20821819,Am J Chin Med,2010,rat,Pain,EA,LI4,Endogenous opioid action on NRL neurons,LI4
20034438,Neurological Research,2010,Rat,Ankle sprain pain,MA,"LI4, SI6",Unknown,LI4
18722508,Neurosci Lett,2008,rat,Excessive dopamine release,EA,"LI4, ST36",Modulation of dopamine homeostasis and rCBV changes in brain circuits,LI4
18178315,Neurosci Lett,2008,rat,Excessive dopamine release,EA,LI4,Modulation of striatal dopamine release via Glu/GABA release,LI4
17537577,Pain,2008,rat,Ankle sprain pain,EA,"SI6, LI4",Spinal alpha2-adrenoceptor mechanisms,LI4
19004207,J Tradit Chin Med,2008,rat,Stroke,EA,LI4,"Up-regulation of angiogenesis factors (VEGF, Ang-1) and down-regulation of anti-angiogenesis factors (endostatin)",LI4
19301625,Acupunct Electrother Res,2008,rat,Pruritus,EA,"LI11, LI4",Kappa-opioid receptor activation,LI4
17285410,J Anesth,2007,rat,Orofacial pain,MA,LI4,Activation of endogenous opioid pathways,LI4
41426243,J Inflamm Res,2025,Mouse,Benign Prostatic Hyperplasia (BPH),MA,"PC6, CV4, SP6",DHT/SRD5A2 pathway downregulation,SP6
40205608,Clin Exp Pharmacol Physiol,2025,Rat,Cerebral Ischemia-Reperfusion Injury (CIRI),"MA, EA","GV26, PC6(EA), SP6",Modulation of the p53/SLC7A11 axis and inhibition of ferroptosis,SP6
40371088,Front Neurol,2025,Rat,PCPA-induced insomnia,EA,"GV20, SP6, HT7",GABA-mediated microbiome-gut-brain axis modulation,SP6
40356922,Front Immunol,2025,Rat,Experimental autoimmune thyroiditis (EAT),MA,"ST36, SP6, CV4",Modulation of intestinal microbiota and palmitic acid metabolism,SP6
40317390,J Mol Neurosci,2025,Rat,Cerebral Ischemia-Reperfusion Injury (CIRI),EA,"PC6, GV26, SP6",Ferroptosis inhibition via iron metabolism and oxidative stress modulation,SP6
40307905,J Ovarian Res,2025,Mouse,Poor Ovarian Response (POR),MA,"LR3, SP6, CV4",Modulation of miR-291a-3p/miR-294-3p/miR-295-3p and TLR/p53 signaling,SP6
40306606,Brain Res,2025,Rat,Cerebral ischemia-reperfusion injury (MCAO/R),EA,"GV26, PC6, SP6",AMPK activation and ferroptosis inhibition,SP6
40261465,Neurochem Res,2025,Rat,Cerebral Small Vessel Disease (CSVD),EA,"GV26, GV20, PC6, SP6",Protection of neurovascular units,SP6
40065910,J Inflamm Res,2025,Mouse,Chronic Inflammatory Pain with Depression (CIPD),MA,"ST36, SP6, LI4, LR3",Improvement of neural coding in the central amygdala (CeA),SP6
