mechanism_string,matched_keywords,level_1,level_2,level_3,level_4,level_5,level_6,level_7,level_8
Upregulation of Kir2.1 and Kir2.2 gene and protein expression,Kir2.1,Other,Other,Other,Other,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction
"ERK1/2-Egr-1 signaling pathway inhibition, proinflammatory cytokine reduction",cytokine,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Sympathetic nerve activity inhibition,sympathetic,Other,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine
Amygdaloid NPY and CREB phosphorylation modulation,CREB,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
"VEGF expression upregulation via H3K9 acetylation, angiogenesis promotion",VEGF,Other,Other,Other,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis
"IL-17 expression reduction, inflammation reduction",IL-1,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
NTS neuron modulation through polysynaptic cross-talk,ROS,Other,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress
"Inflammatory and immunity pathway modulation (IL-1β, NF-κB downregulation)",NF-κB,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Connexin43 mRNA and protein upregulation,connexin43,Other,Other,Other,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis
Voltage-gated Na+ currents inhibition via Na(v) inactivation restoration,voltage-gated Na,Other,Other,Other,Other,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction
Cardiac transient outward K+ current (Ito) channel gene and protein expression increase,transient outward K+,Other,Other,Other,Other,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction
Antagonism of CCK-8 on opioid mechanism in rVLM,opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid
Enhanced MSC survival and increased capillary density,survival,Other,Other,Other,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis
Increased cerebral blood flow,cerebral blood,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
Activating the ERK-CREB pathway in the hippocampus and prefrontal cortex,CREB,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
"Downregulation of SP, CGRP, NK-1R, COX-1, and PGE2 levels",CGRP,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid
Regulation of CFTR and CLC-2 Cl- channels and reduction of oxidative stress,oxidative stress,Other,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress
"Modulation of upstream neuroendocrine cytokines (Ang II, ET) that regulate ERK signaling pathways",cytokine,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
"Modulation of neurons in the paraventricular nucleus (PVN) and rostral ventrolateral medulla (RVLM) (c-Fos expression, electrophysiological properties)",ROS,Other,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress
Inhibition of CB1 receptor upregulation,CB1,Other,Other,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling
Gradual recovery of movement function via multiple acupuncture sessions,movement function,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
"Reversal of ethanol-induced pERK expression in specific brain regions (infralimbic cortex, dorsomedial striatum)",ERK,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
"Counteracting CRD-induced changes in blood pressure, GBF, EGG, and GT, with specificity for Zusanli (ST36)",blood pressure,Other,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine
"Decreased LPS-induced plasma TNF-α and IL-1β, increased plasma IL-10, decreased plasma nitrite, renal iNOS and NF-κB activity",NF-κB,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
"Attenuation of liver injury and dysfunction, reduction of neutrophil infiltration",neutrophil,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Increased acetylcholinesterase (AchE) activity in hippocampus,acetylcholine,Other,Other,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling
Regulation of Nav1.1 and Nav1.6 expression,Nav1.1,Other,Other,Other,Other,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction
Regulation of Nav1.1 expression,Nav1.1,Other,Other,Other,Other,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction
Attenuation of c-fos expression in PVN and restoration of stress-induced behavioral changes,PVN,Other,Other,Other,Other,Other,Other,Other,Neural Circuit/Connectivity
Modulation of homer1A expression and glutamatergic plasticity,glutamate,Other,Other,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling
Endocannabinoid CB1 receptor activation inhibiting GABA release in vlPAG,PAG,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid
Increased neuropeptide Y (NPY) expression and HPA axis modulation,HPA axis,Other,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine
"Attenuation of AC, PKA, and L-type Ca2+ channel activity",L-type Ca2+ channel,Other,Other,Other,Other,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction
"Regulation of ephrin-A5 expression and dendritic spine density, neural plasticity",dendritic,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
"Up-regulation of NOS expression in myocardium, gastric antrum, duodenum",NOS expression,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Differential regulation of nNOS and iNOS in RVLM,iNOS,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Inhibition of beta(1)-adrenoceptor-Gs-protein-cAMP pathway,adrenoceptor,Other,Other,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling
Reduction of cardiac metabolic demand,cardiac metabolic demand,Other,Other,Other,Other,Other,Other,Metabolic Pathway,Metabolic Pathway
PANX1/ATP/Ca2+ signaling modulation,PANX,Other,Other,Other,Other,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction
Gut SCFA/IL-17 axis regulation,IL-1,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Circadian autophagy and ferroptosis inhibition,ferroptosis,Other,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress
SIRT1 activation,SIRT1,Other,Other,Other,Other,Other,Other,Metabolic Pathway,Metabolic Pathway
NLRP3 inflammasome pathway inhibition,NLRP3,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
CB2 receptor activation,CB2,Other,Other,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling
Improvement of neural coding in the central amygdala (CeA),neural coding,Other,Other,Other,Other,Other,Other,Other,Neural Circuit/Connectivity
Activation of the MLT/cAMP/PKA/CREB signaling pathway,CREB,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
Inhibition of M1-Ach receptors and activation of mTORC1,mTOR,Other,Other,Other,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis
GDNF/PI3K/mTOR signaling activation,GDNF,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
IRE1/XBP1 ER stress pathway activation,ER stress,Other,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress
Mediation of AMPK/ACC signaling pathway,AMPK,Other,Other,Other,Other,Other,Other,Metabolic Pathway,Metabolic Pathway
Inhibition of prefrontal cortex ferroptosis,ferroptosis,Other,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress
"Reducing endoplasmic reticulum stress, inhibiting JNK, and restoring insulin signaling",JNK,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Microglial M1/M2 polarization modulation via TLR4/TRIF/MyD88 pathway,TLR,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
mTOR/ULK1 pathway mediated neuronal autophagy regulation,autophagy,Other,Other,Other,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Autophagy/Mitophagy,Autophagy/Mitophagy,Autophagy/Mitophagy
Inhibiting excessive autophagy via IL-10 production and blocking AMPK/mTOR signaling,IL-1,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
HO-1/PINK1 pathway-mediated mitochondrial dynamics regulation,HO-1,Other,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress
"Electroacupuncture activates the delta-opioid receptor (DOR)-BDNF/TrkB signaling pathway, suppressing pro-inflammatory cytokines (IL-1β, TNF-α) while upregulating anti-inflammatory factors (IL-4, IL-10) to reduce retinal cell apoptosis",opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid
Bidirectional regulation of glial scar repair and glial cell proliferation,glial scar,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
Kynurenine pathway regulation,renin,Other,Other,Other,Other,Other,Other,Metabolic Pathway,Metabolic Pathway
Modulation of spinal cord synaptic plasticity,synaptic plasticity,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
Activation of the PI3K/Akt signaling pathway,PI3K,Other,Other,Other,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis
Inhibition of the CaMKII/CREB/BDNF signaling pathway,BDNF,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
Modulation of GABAergic interneurons-astrocytes interaction,astrocyt,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Gut microbiota and bile acid metabolism regulation,gut microbiota,Other,Other,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric
HDAC overexpression and BDNF-associated Akt/GSK-3β signaling targeting,BDNF,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
"Regulation of PPAR signaling pathway, fatty acid biosynthesis/metabolism, fat digestion/absorption",IgE,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Inhibition of NLRP3/caspase-1 pathway to reduce cell pyroptosis and inflammatory response,NLRP3,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Extracellular matrix remodeling and synaptic plasticity promotion,synaptic plasticity,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
Anti-inflammatory effect and angiogenesis promotion,anti-inflammatory,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
"CB1 receptor activation on glutamatergic neurons and inhibition on GABAergic neurons in vlPAG, inhibiting 5-HT release",PAG,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid
Opioid and non-opioid system modulation,opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid
"Reduction of IL-6, IL-17, and NF-κB",NF-κB,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
OTULIN upregulation and NF-κB pathway suppression,NF-κB,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Activation of BDNF and TrkB expression,BDNF,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
"Upregulation of neuronal Cylindromatosis (CYLD) expression, regulation of microglial polarization (inhibiting M1, promoting M2), modulation of CX3CL1/CX3CR1 axis and NLRP3 inflammasome",NLRP3,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
"Regulating intestinal flora, increasing SCFAs, affecting LPS levels, and reducing inflammatory response",inflammatory,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
"Modulation of ΔFosB and GluR2 expression, and dendritic spine density",dendritic,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
Downregulation of NR2B and CaMK II expression to restore LTP,LTP,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
Modulation of hyper-cholinergic tone,cholinergic tone,Other,Other,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling
A20-binding inhibitor of NF-κB modulation,NF-κB,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Microglial M1 polarization inhibition via RhoA/ROCK2 signaling pathway regulation,microgli,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Regulation of PPAR Gamma/NF-Kappa B signaling pathway,PPAR,Other,Other,Other,Other,Other,Other,Metabolic Pathway,Metabolic Pathway
Inhibition of spinal microglia activation,microgli,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
AMPAR expression upregulation and neural plasticity protection,AMPA,Other,Other,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling
Microglial and astrocyte activation modulation and pro-inflammatory cytokine reduction,cytokine,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Reduction of oxidative stress and regulation of antioxidant enzyme activity,oxidative stress,Other,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress
LPA-LPAR pathway inhibition and microglial activation reduction,microgli,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
"PI3K/Akt signaling pathway restoration, reduction of granulosa cell apoptosis",PI3K,Other,Other,Other,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis
Brain TRPV1 signaling pathway modulation,TRPV1,Other,Other,Other,Other,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction,Ion Channel/Pain Transduction
Cannabinoid CB1/CB2 receptor immunoexpression increase,cannabinoid,Other,Other,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling
Spinal p38 MAPK inhibition and PGE2/PGER2 modulation,p38 MAPK,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
GRP78 and caspase-12 downregulation; ER stress inhibition,ER stress,Other,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress
Acetylcholine biosynthesis and NGF metabolism normalization,NGF,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
ERK pathway upregulation and p38 pathway inhibition,ERK,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Spinal microglial activation alleviation and TNF-α reduction,TNF,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Inflammatory response inhibition via vagus nerve,inflammatory,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
"Microglial TREM2 modulation, PI3K/Akt and NF-κB signaling pathway regulation (attenuating neuroinflammation)",NF-κB,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
NF-κB signaling pathway suppression via CYLD upregulation,NF-κB,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
M1- and M2-muscarinic receptor modulation,muscarinic,Other,Other,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling
Enhancing glial glutamate transporter EAAT2 expression,glutamate,Other,Other,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling
Upregulation of p-ERK (ERK pathway),ERK,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Inhibits p38 mitogen-activated protein kinase signaling pathway,p38 mitogen-activated protein kinase,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Regulation of the spinal dynorphin/κ-opioid receptor system,opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid
Activation of the GABAB/cAMP/PKA/CREB signal transduction pathway,CREB,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
Reduced microglial activation (Iba1 and phospho-p38),microgli,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
Wnt/β-catenin signaling pathway regulation and neural stem cell modulation,Wnt,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
Proliferation and differentiation of endogenous neural stem cells,neural stem,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
"Inhibition of apoptosis, altered MMP-9/TIMP-1 expression balance",apoptosis,Other,Other,Other,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis,Cell Survival/Apoptosis
"Accelerated SDF-1α concentration gradient formation, mobilization of EPCs, angiogenesis",SDF-1,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
"Upregulated neuronal A20 expression, suppressed neuronal NF-kB signaling pathway",NF-kB,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
"SNARE protein involvement (VGLUT2, SNAP25, VAMP1, VAMP2, VAMP7, syntaxin1)",ARE,Other,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress
"Anti-neuroinflammatory effects (microglia/astrocyte activation, TNF-α expression attenuation)",TNF,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
ERK signaling pathway upregulation and reduced apoptosis,ERK,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
"Notch signaling pathway promotion, endogenous stem cell proliferation induction",LIF,Other,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine,Autonomic/Neuroendocrine
"Immuno-inflammatory response modulation (RANKL, TRAP, IL-1β, MMP-8, IL-6)",IL-1,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
β-endorphin expression upregulation,endorphin,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid
Involvement of peripheral µ opioid system and decreased c-Fos expression,opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid,Analgesic/Opioid
"Upregulation of SCF, c-kit, and MMP-9 expression",c-kit,Other,Other,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric,Gut-Brain/Enteric
Promoting proliferation and differentiation of neural stem cells,neural stem,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
"Regulation of NF-κB signaling pathway (interfering with NF-κB nuclear translocation, suppressing NF-κB activity)",NF-κB,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
"Increased cerebral blood flow, reduction of TGIF expression and neuronal apoptosis",cerebral blood,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective,Neuroprotective
Activation of CB1 and CB2 cannabinoid receptors,cannabinoid,Other,Other,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling,Neurochemical Signaling
Modulation of the Adenylyl cyclase (AC)-cyclic adenosine monophosphate (cAMP)-cAMP-dependent protein kinase A (PKA) cascade,eNOS,Other,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress,Oxidative Stress
Regulation of NPY in thalamus and SS in colonic tissue/blood,,Other,Other,Other,Other,Other,Other,Other,Other
"Inhibition of inflammatory parameters: neutrophil migration, vascular permeability, TNF-α, COX-2, and iNOS expression",TNF,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune,Inflammatory/Immune
