disease_string,matched_keyword,level_1,level_2,level_3,level_4,level_5,level_6,level_7
QT interval prolongation,QT interval,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular
Cardiovascular disease,vascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular
Drug addiction,addiction,Other,Other,Other,Other,Other,Addiction,Addiction
Kidney injury,kidney,Other,Other,Other,Other,Renal/Urological,Renal/Urological,Renal/Urological
Liver injury,liver,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Stress-related pathological disorders,stress,Other,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric
Ethanol addiction,addiction,Other,Other,Other,Other,Other,Addiction,Addiction
Acute cerebral infarction,cerebral infarction,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Coronary heart disease,heart,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular
Ventricular tachyarrhythmias,arrhythmia,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular
Depression-like behaviors (induced by early chronic sleep deprivation),depression,Other,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric
Atopic dermatitis (AD),dermatitis,Other,Other,Other,Other,Dermatological,Dermatological,Dermatological
Chronic Inflammatory Pain with Depression (CIPD),pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Knee osteoarthritis (KOA),arthritis,Other,Other,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal
Facial Nerve Injury (FNI),nerve injury,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Glycolipid metabolism disorders in NAFLD/Type 2 diabetes mellitus (T2DM),NAFLD,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Post-stroke depression (PSD) induced by middle cerebral artery occlusion (MCAO) and chronic unpredictable mild stress (CUMS),stroke,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Diabetic cognitive impairment (DCI),cognitive impairment,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
neuroinflammation,neuroinflammation,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
brain injury,brain injury,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
intestinal disease,intestin,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Retinal ischemia-reperfusion injury (RIRI),ischemia-reperfusion,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Cervical spondylotic radiculopathy (CSR),cervical spondyl,Other,Other,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal
Chronic inflammatory pain and depression comorbidity,pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Persistent dental pain induced by multiple dental pulp injuries,pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Chemotherapy-Induced Salivary Gland Hypofunction (Xerostomia),ALI,Other,Other,Other,Respiratory,Respiratory,Respiratory,Respiratory
Type 2 Diabetes Mellitus (db/db mice model),diabetes,Other,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine
Traumatic brain injury,brain injury,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
burn,burn,Other,Other,Other,Other,Dermatological,Dermatological,Dermatological
itch,itch,Other,Other,Other,Other,Dermatological,Dermatological,Dermatological
analgesia,analges,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Periodontitis,periodontitis,Other,Other,Other,Immune/Inflammatory,Immune/Inflammatory,Immune/Inflammatory,Immune/Inflammatory
cocaine reinstatement,cocaine,Other,Other,Other,Other,Other,Addiction,Addiction
cerebral ischemia/reperfusion (I/R) injury,cerebral isch,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
respiratory distress,stress,Other,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric
labor pain,pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
pulpitis,pulpitis,Other,Other,Other,Immune/Inflammatory,Immune/Inflammatory,Immune/Inflammatory,Immune/Inflammatory
fractures,fracture,Other,Other,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal
premature ovarian failure,ovarian,Other,Other,Reproductive,Reproductive,Reproductive,Reproductive,Reproductive
bone loss,bone loss,Other,Other,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal
labour pain,pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
cerebral ischemia/reperfusion injury,cerebral isch,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Ischemia,,Other,Other,Other,Other,Other,Other,Other
Major depressive disorder,major depressive,Other,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric
neuronal apoptosis,neuronal apoptosis,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Itching,itch,Other,Other,Other,Other,Dermatological,Dermatological,Dermatological
Brachial plexus injury,brachial plexus,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Facial nerve palsy(FNP),ALS,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Pruritus,pruritus,Other,Other,Other,Other,Dermatological,Dermatological,Dermatological
Inflammatory injury,inflammatory injury,Other,Other,Other,Immune/Inflammatory,Immune/Inflammatory,Immune/Inflammatory,Immune/Inflammatory
Arthritis,arthritis,Other,Other,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal
Ankle sprain pain,pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Excessive dopamine release,dopamine release,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Orofacial pain,pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
PCPA-induced insomnia,insomnia,Other,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric
Experimental autoimmune thyroiditis (EAT),thyroid,Other,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine
Poor Ovarian Response (POR),ovarian,Other,Other,Reproductive,Reproductive,Reproductive,Reproductive,Reproductive
Chronic sleep deprivation (CSD)-induced insomnia,insomnia,Other,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric
Oligoasthenospermia,sperm,Other,Other,Reproductive,Reproductive,Reproductive,Reproductive,Reproductive
polycystic ovary syndrome (PCOS),PCOS,Other,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine
Diabetic Gastroparesis (DGP),gastroparesis,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
IBS visceral pain,pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
cold-coagulation type dysmenorrhea,dysmenorrh,Pain,Pain,Pain,Pain,Pain,Pain,Pain
pain sensory memory and pain-related aversive memory relapse,pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Post-stroke depression (PSD),stroke,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
"chronic stress-induced pain hypersensitivity, hyperalgesia",pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Chronic neuropathic pain and long-term cognitive impairment,pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Hip fracture-induced acute lung injury (ALI),fracture,Other,Other,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal
Depression (Chronic restraint stress (CRS)-induced),depression,Other,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric
Remifentanil-induced hyperalgesia (RIH),hyperalgesia,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Severe hand-foot-mouth disease (HFMD),hand-foot-mouth,Other,Other,Other,Immune/Inflammatory,Immune/Inflammatory,Immune/Inflammatory,Immune/Inflammatory
Neuropathic pain (SNI model),pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Perimenopausal depression (PMD),depression,Other,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric
Surgical stress-induced impairment of dendritic cell maturation,stress,Other,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric
Primary dysmenorrhea (PDM),dysmenorrh,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Neurogenic bladder,bladder,Other,Other,Other,Other,Renal/Urological,Renal/Urological,Renal/Urological
chronic inflammatory pain-induced anxiety-like behaviors,pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
"MAFLD, T2DM, hepatic steatosis and fibrosis",hepatic,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Comorbid chronic neuropathic pain and anxiety-like behaviors,pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
"Chronic pain, mechanical allodynia, anxiety-like behaviors",pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Carrageenan-induced pain aversion (inflammatory pain model),pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
herpes simplex virus type-1 (HSV-1),herpes simplex,Other,Other,Other,Immune/Inflammatory,Immune/Inflammatory,Immune/Inflammatory,Immune/Inflammatory
"Reproductive aging (neuroendocrine defects, luteinizing hormone (LH) surge failure)",reproductive,Other,Other,Reproductive,Reproductive,Reproductive,Reproductive,Reproductive
"Chronic neuropathic pain, depression-like behaviors",pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
sleep deprivation,sleep,Other,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric
CFA-Induced Inflammatory Pain,pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Surgery-induced spatial memory deficits / Perioperative neurocognitive disorders (PNDs),memory deficit,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Collagen-induced arthritis (rheumatoid arthritis),arthritis,Other,Other,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal
Perioperative hypothalamus-pituitary-adrenal axis dysfunction (surgical trauma),adrenal,Other,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine
Chronic Neuropathic Pain,pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Premature ovarian failure (POF),ovarian,Other,Other,Reproductive,Reproductive,Reproductive,Reproductive,Reproductive
Controlled ovarian hyperstimulation (COH),ovarian,Other,Other,Reproductive,Reproductive,Reproductive,Reproductive,Reproductive
Polycystic ovary syndrome (PCOS)-related abnormal follicular development,PCOS,Other,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine
Persistent inflammatory pain (CFA-induced),pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Ischemic stroke / Global cerebral ischemia,stroke,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Intrauterine adhesion (IUA),uterine,Other,Other,Reproductive,Reproductive,Reproductive,Reproductive,Reproductive
Pain-related aversive memory behaviors,pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Collagen-induced arthritis (CIA),arthritis,Other,Other,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal
Ketamine-induced neuronal injury,,Other,Other,Other,Other,Other,Other,Other
"Chronic neuropathic pain (induced by spared nerve injury - SNI), anxiety-like behaviors",pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
"Insomnia, spatial learning and memory deficits",insomnia,Other,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric
Acute postoperative pain (APP),pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
chronic pain,pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
"anxiety, mood disorders",anxiety,Other,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric
Dysmenorrhea,dysmenorrh,Pain,Pain,Pain,Pain,Pain,Pain,Pain
obesity with insulin resistance (IR),obesity,Other,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine
neurogenic urinary retention,urinary,Other,Other,Other,Other,Renal/Urological,Renal/Urological,Renal/Urological
insomnia,insomnia,Other,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric
Prostatitis,prostatitis,Other,Other,Reproductive,Reproductive,Reproductive,Reproductive,Reproductive
breast cancer,cancer,Other,Other,Other,Other,Other,Other,Cancer/Oncology
chronic pelvic pain syndrome (CPPS),pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
fallopian tube inflammation,inflammation,Other,Other,Other,Immune/Inflammatory,Immune/Inflammatory,Immune/Inflammatory,Immune/Inflammatory
urinary retention,urinary,Other,Other,Other,Other,Renal/Urological,Renal/Urological,Renal/Urological
peritonitis,peritonitis,Other,Other,Other,Immune/Inflammatory,Immune/Inflammatory,Immune/Inflammatory,Immune/Inflammatory
Hyperactivity of the HPA axis,HPA axis,Other,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine
HPA axis dysfunction,HPA axis,Other,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine
Ovarian hyperstimulation syndrome (OHSS),ovarian,Other,Other,Reproductive,Reproductive,Reproductive,Reproductive,Reproductive
type 2 diabetes,diabetes,Other,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine
thin endometrium,endometri,Other,Other,Reproductive,Reproductive,Reproductive,Reproductive,Reproductive
diabetic bladder dysfunction,diabetic,Other,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine
encephalopathy,encephalopathy,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
ovarian failure,ovarian,Other,Other,Reproductive,Reproductive,Reproductive,Reproductive,Reproductive
hyperactivity of HPA axis,HPA axis,Other,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine
"neurotoxicity, immunosuppression",immunosuppress,Other,Other,Other,Immune/Inflammatory,Immune/Inflammatory,Immune/Inflammatory,Immune/Inflammatory
nerve injury,nerve injury,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Non-alcoholic fatty liver disease,liver,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Ischemia-Reperfusion,ischemia-reperfusion,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
pulmonary inflammation,inflammation,Other,Other,Other,Immune/Inflammatory,Immune/Inflammatory,Immune/Inflammatory,Immune/Inflammatory
superovulation,superovulation,Other,Other,Reproductive,Reproductive,Reproductive,Reproductive,Reproductive
"inflammatory, neuropathic pain",pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Opiate addiction,addiction,Other,Other,Other,Other,Other,Addiction,Addiction
inflammatory nociception,nocicepti,Pain,Pain,Pain,Pain,Pain,Pain,Pain
immunosuppression,immunosuppress,Other,Other,Other,Immune/Inflammatory,Immune/Inflammatory,Immune/Inflammatory,Immune/Inflammatory
chronic constrictive injury,chronic constrictive injury,Pain,Pain,Pain,Pain,Pain,Pain,Pain
ganglionectomies,ganglionectom,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
gastrointestinal (GI) motility disorder,intestin,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
heroin addiction,addiction,Other,Other,Other,Other,Other,Addiction,Addiction
"anxiety, depression",depression,Other,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric
Incision pain,pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Osteoarthritis,arthritis,Other,Other,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal
spared nerve injury,nerve injury,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
knee osteoarthritis,arthritis,Other,Other,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal
Ovarian hyperstimulation syndrome,ovarian,Other,Other,Reproductive,Reproductive,Reproductive,Reproductive,Reproductive
ovarian hyper stimulation syndrome,ovarian,Other,Other,Reproductive,Reproductive,Reproductive,Reproductive,Reproductive
Complex regional pain syndrome,pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Insulin resistance,insulin,Other,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine
hyperalgesia,hyperalgesia,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Pain-depression dyad,pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Menopausal symptoms associated with learning and memory,menopaus,Other,Other,Reproductive,Reproductive,Reproductive,Reproductive,Reproductive
controlledovarian hyperstimulation (COH),ovarian,Other,Other,Reproductive,Reproductive,Reproductive,Reproductive,Reproductive
Surgical trauma-induced HPA axis hyperactivity,HPA axis,Other,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine
Sleep disorders,sleep,Other,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric
Reproductive dysfunction,reproductive,Other,Other,Reproductive,Reproductive,Reproductive,Reproductive,Reproductive
Vaginal and uterine atrophy,vaginal,Other,Other,Reproductive,Reproductive,Reproductive,Reproductive,Reproductive
Perimenopausal Depression,depression,Other,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric
Rheumatoid arthritis,arthritis,Other,Other,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal
Cognitive impairment,cognitive impairment,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
bone cancer pain,pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Muscle pain,pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Cutaneous leishmaniasis,cutaneous,Other,Other,Other,Other,Dermatological,Dermatological,Dermatological
Embryo implantation dysfunction,implantation,Other,Other,Reproductive,Reproductive,Reproductive,Reproductive,Reproductive
Infertility,fertil,Other,Other,Reproductive,Reproductive,Reproductive,Reproductive,Reproductive
Chronic muscle pain,pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Oxidative damage,oxidative damage,Other,Other,Other,Immune/Inflammatory,Immune/Inflammatory,Immune/Inflammatory,Immune/Inflammatory
Neurological injury,neurological injury,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Implantation failure,implantation,Other,Other,Reproductive,Reproductive,Reproductive,Reproductive,Reproductive
Post-incision pain,pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Ovariectomy-induced osteoporosis,osteoporosis,Other,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine
Subfertility,fertil,Other,Other,Reproductive,Reproductive,Reproductive,Reproductive,Reproductive
Post-laparotomy pain,pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Acute gouty arthritis,arthritis,Other,Other,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal
Sleep disturbance,sleep,Other,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric
Reproductive disorder,reproductive,Other,Other,Reproductive,Reproductive,Reproductive,Reproductive,Reproductive
Morphine dependence,morphine dependence,Other,Other,Other,Other,Other,Addiction,Addiction
Asthma,asthma,Other,Other,Other,Respiratory,Respiratory,Respiratory,Respiratory
Implantation disorders,implantation,Other,Other,Reproductive,Reproductive,Reproductive,Reproductive,Reproductive
Stress urinary incontinence,stress,Other,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric
Alcohol and drug abuse,alcohol,Other,Other,Other,Other,Other,Addiction,Addiction
Chemotherapy-induced peripheral neuropathy (CIPN) and anxiety,neuropathy,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Multiple sclerosis (MS) / Experimental autoimmune encephalomyelitis (EAE),multiple sclerosis,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Olanzapine-induced obesity and dyslipidemia,obesity,Other,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine,Metabolic/Endocrine
Premature ovarian insufficiency (POI),POI,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
diesel exhaust particles (DEP)-induced inflammatory response in lung,diesel exhaust,Other,Other,Other,Respiratory,Respiratory,Respiratory,Respiratory
LPS-induced depression model,depression,Other,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric
"Diabetes mellitus (GI motility disorders, enteric neuronal loss)",GI motility,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
allergic rhinitis (AR),allergic rhinitis,Other,Other,Other,Respiratory,Respiratory,Respiratory,Respiratory
Cognitive impairment induced by chronic hypoxia,cognitive impairment,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Ischemic stroke (IS) / Middle cerebral artery occlusion (MCAO),stroke,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Chronic Neuropathic Pain (NP),pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Metabolic Dysfunction-Associated Fatty Liver Disease (MAFLD),liver,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Hypotension,hypotension,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular
Rheumatoid arthritis (RA),arthritis,Other,Other,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal
Asphyxial Cardiac Arrest (CA)-induced global cerebral ischemia injury,cerebral isch,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
HFD-exacerbated Alzheimer's pathology,alzheimer,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Diabetic gastroparesis,gastroparesis,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
"Ischemic stroke, corpus callosum injury",stroke,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Corticosterone (CORT)-induced depression,depression,Other,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric
Acute adjuvant-induced arthritis (AA),arthritis,Other,Other,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal
cerebral ischaemia/reperfusion injury (CIRI) / stroke,stroke,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Fibromyalgia,fibromyalgia,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Intestinal Ischemia/Reperfusion Injury (I/R),intestin,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
Postoperative pain (plantar incision induced),pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
"comorbid pain and depression (constriction injury on the infraorbital nerve, CION)",pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
"Inflammatory pain (CFA-induced), Neuropathic pain (CCI-induced)",pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Neuropathic Pain (NPP),pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
LPS-induced Acute Lung Injury (ALI) (sepsis-induced ARDS),lung injury,Other,Other,Other,Respiratory,Respiratory,Respiratory,Respiratory
Endotoxin-induced lung injury (sepsis),lung injury,Other,Other,Other,Respiratory,Respiratory,Respiratory,Respiratory
Inflammatory pain (CFA-induced),pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Diabetic encephalopathy,encephalopathy,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Sepsis-induced acute lung injury (ALI),lung injury,Other,Other,Other,Respiratory,Respiratory,Respiratory,Respiratory
ISO-induced cardiac fibrosis and hypertrophy,cardiac,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular,Cardiovascular
Cerebral ischemia / permanent middle cerebral artery occlusion (pMCAO),cerebral isch,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Diabetic neuropathic pain,pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Cerebral ischemic stroke,stroke,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Paclitaxel-induced peripheral neuropathy,neuropathy,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Trigeminal neuralgia with comorbid anxiety and depression,neuralgia,Pain,Pain,Pain,Pain,Pain,Pain,Pain
"Neuropathic pain (NP), negative emotion",pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Intracerebral hemorrhage (ICH),cerebral hemorrhage,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Zymosan-induced colorectal hypersensitivity (Irritable Bowel Syndrome - IBS),IBS,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal,Gastrointestinal
fibromyalgia pain,pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Chronic Cerebral Ischemia,cerebral isch,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
Limb Spasms after Intracerebral Hemorrhage,cerebral hemorrhage,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological,Neurological
immobilization-induced muscle atrophy,muscle atrophy,Other,Other,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal
Arthritis (Acute adjuvant arthritis),arthritis,Other,Other,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal
Chronic obstructive pulmonary disease (COPD),COPD,Other,Other,Other,Respiratory,Respiratory,Respiratory,Respiratory
Central post-stroke pain (CPSP),pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
Methamphetamine (METH)-induced depressive-like behaviors and cognitive impairment,methamphetamine,Other,Other,Other,Other,Other,Addiction,Addiction
Acute ankle arthritis,arthritis,Other,Other,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal,Musculoskeletal
Major Depressive Disorder (MDD) induced by chronic unpredictable mild stress (CUMS),stress,Other,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric,Psychiatric
Neuropathic pain (NP) induced by chronic constriction injury (CCI),pain,Pain,Pain,Pain,Pain,Pain,Pain,Pain
